roll,pitch,yaw,timestamp
0.06,-0.1,-1.14,1758762174.845616
0.06,-0.1,-1.14,1758762174.8493116
0.06,-0.1,-1.14,1758762174.8538663
0.06,-0.1,-1.14,1758762174.86329
0.06,-0.1,-1.14,1758762174.872995
0.06,-0.1,-1.14,1758762174.8795278
0.06,-0.1,-1.14,1758762174.8877287
0.06,-0.1,-1.14,1758762174.8900723
0.06,-0.1,-1.14,1758762174.893123
0.06,-0.1,-1.14,1758762174.9095647
0.06,-0.1,-1.14,1758762174.914952
0.06,-0.1,-1.14,1758762174.9197116
0.06,-0.1,-1.14,1758762174.9229984
0.06,-0.1,-1.14,1758762174.9280074
0.06,-0.1,-1.14,1758762174.9318137
0.06,-0.1,-1.14,1758762174.940399
0.06,-0.1,-1.14,1758762174.9442155
0.06,-0.1,-1.14,1758762174.9527507
0.06,-0.1,-1.14,1758762174.9611456
0.06,-0.1,-1.14,1758762174.9689467
0.06,-0.1,-1.14,1758762174.9847436
0.06,-0.1,-1.14,1758762174.993886
0.06,-0.1,-1.14,1758762175.0015388
0.06,-0.1,-1.14,1758762175.003941
0.06,-0.1,-1.14,1758762175.0061116
0.06,-0.1,-1.14,1758762175.0121267
0.06,-0.1,-1.14,1758762175.0289395
0.06,-0.1,-1.14,1758762175.034478
0.06,-0.1,-1.14,1758762175.0380754
0.06,-0.1,-1.14,1758762175.0458524
0.06,-0.1,-1.14,1758762175.050294
0.06,-0.1,-1.14,1758762175.0561109
0.06,-0.1,-1.14,1758762175.0639772
0.06,-0.1,-1.14,1758762175.0700605
0.06,-0.1,-1.14,1758762175.0770278
0.06,-0.1,-1.14,1758762175.0802586
0.06,-0.1,-1.14,1758762175.095882
0.06,-0.1,-1.14,1758762175.1054015
0.06,-0.1,-1.14,1758762175.1131864
0.06,-0.1,-1.14,1758762175.120146
0.06,-0.1,-1.14,1758762175.1290898
0.06,-0.1,-1.14,1758762175.1390553
0.06,-0.1,-1.14,1758762175.1481557
0.06,-0.1,-1.14,1758762175.153765
0.06,-0.1,-1.14,1758762175.1663125
0.06,-0.1,-1.14,1758762175.176509
0.06,-0.1,-1.14,1758762175.1852093
0.06,-0.1,-1.14,1758762175.19493
0.06,-0.1,-1.14,1758762175.2001095
0.06,-0.1,-1.14,1758762175.2086272
0.06,-0.1,-1.14,1758762175.2171323
0.06,-0.1,-1.14,1758762175.2197702
0.06,-0.1,-1.14,1758762175.2241085
0.06,-0.1,-1.14,1758762175.228271
0.06,-0.1,-1.14,1758762175.231684
0.06,-0.1,-1.14,1758762175.2366612
0.06,-0.1,-1.14,1758762175.2456155
0.06,-0.1,-1.14,1758762175.2502944
0.06,-0.1,-1.14,1758762175.2549372
0.06,-0.1,-1.14,1758762175.2630298
0.06,-0.1,-1.14,1758762175.2705762
0.06,-0.1,-1.14,1758762175.27808
0.06,-0.1,-1.14,1758762175.285293
0.06,-0.1,-1.14,1758762175.2898896
0.06,-0.1,-1.14,1758762175.2953184
0.06,-0.1,-1.14,1758762175.3030598
0.06,-0.1,-1.14,1758762175.307717
0.06,-0.1,-1.14,1758762175.3157992
0.05,-0.1,-1.14,1758762175.3217216
0.05,-0.1,-1.14,1758762175.3276615
0.05,-0.1,-1.14,1758762175.3342502
0.05,-0.1,-1.14,1758762175.3396344
0.05,-0.1,-1.14,1758762175.3441918
0.05,-0.1,-1.14,1758762175.349232
0.06,-0.1,-1.14,1758762175.3559155
0.06,-0.1,-1.14,1758762175.3604767
0.06,-0.1,-1.14,1758762175.3658323
0.06,-0.09,-1.14,1758762175.375854
0.06,-0.08,-1.14,1758762175.3815994
0.06,-0.08,-1.14,1758762175.3879726
0.06,-0.08,-1.14,1758762175.393049
0.06,-0.08,-1.14,1758762175.398764
0.06,-0.08,-1.14,1758762175.403266
0.07,-0.08,-1.14,1758762175.4084666
0.06,-0.07,-1.14,1758762175.4136689
0.06,-0.07,-1.14,1758762175.421898
0.07,-0.07,-1.14,1758762175.427324
0.07,-0.07,-1.14,1758762175.4316945
0.07,-0.07,-1.14,1758762175.436242
0.07,-0.06,-1.14,1758762175.4405298
0.07,-0.06,-1.14,1758762175.4464447
0.07,-0.06,-1.14,1758762175.44874
0.08,-0.05,-1.14,1758762175.4512231
0.08,-0.05,-1.14,1758762175.4544594
