roll,pitch,yaw,timestamp
0.04,0.13,-0.13,1759267801.6677675
0.04,0.13,-0.13,1759267801.6710775
0.04,0.13,-0.13,1759267801.675729
0.04,0.13,-0.13,1759267801.678908
0.04,0.13,-0.13,1759267801.6824305
0.04,0.13,-0.13,1759267801.6873505
0.04,0.13,-0.13,1759267801.6922283
0.04,0.13,-0.13,1759267801.6984904
0.04,0.13,-0.13,1759267801.7036593
0.04,0.13,-0.13,1759267801.7098382
0.04,0.13,-0.13,1759267801.715984
0.04,0.13,-0.13,1759267801.7198114
0.04,0.13,-0.13,1759267801.723343
0.04,0.13,-0.13,1759267801.726869
0.04,0.13,-0.13,1759267801.7299993
0.04,0.13,-0.13,1759267801.7345936
0.04,0.13,-0.13,1759267801.7384722
0.04,0.13,-0.13,1759267801.7421887
0.04,0.13,-0.13,1759267801.745504
0.04,0.13,-0.13,1759267801.7490716
0.04,0.13,-0.13,1759267801.7523322
0.04,0.13,-0.13,1759267801.7552545
0.04,0.13,-0.13,1759267801.7588017
0.04,0.13,-0.13,1759267801.7619135
0.04,0.13,-0.13,1759267801.764953
0.04,0.13,-0.13,1759267801.7681456
0.04,0.13,-0.13,1759267801.771873
0.04,0.13,-0.13,1759267801.774844
0.04,0.13,-0.13,1759267801.7790542
0.04,0.13,-0.13,1759267801.782658
0.04,0.13,-0.13,1759267801.7857957
0.04,0.13,-0.13,1759267801.7896757
0.04,0.13,-0.13,1759267801.7929182
0.04,0.13,-0.13,1759267801.797027
0.04,0.13,-0.13,1759267801.800779
0.04,0.13,-0.13,1759267801.8041997
0.04,0.13,-0.13,1759267801.8094952
0.04,0.13,-0.13,1759267801.8146613
0.04,0.13,-0.13,1759267801.820025
0.04,0.13,-0.13,1759267801.8242166
0.04,0.13,-0.13,1759267801.8292608
0.04,0.13,-0.13,1759267801.8325567
0.04,0.13,-0.13,1759267801.83746
0.04,0.13,-0.13,1759267801.845196
0.04,0.13,-0.13,1759267801.8507764
0.04,0.13,-0.13,1759267801.8543088
0.04,0.13,-0.13,1759267801.8588269
0.04,0.13,-0.13,1759267801.874985
0.04,0.13,-0.13,1759267801.8930674
0.04,0.13,-0.13,1759267801.905281
0.04,0.13,-0.13,1759267801.9112587
0.04,0.13,-0.13,1759267801.9163425
0.04,0.13,-0.13,1759267801.9190376
0.04,0.13,-0.13,1759267801.9211855
0.04,0.13,-0.13,1759267801.9234598
0.04,0.13,-0.13,1759267801.9282794
