cR,cP,cY,timestamp
-0.02301796011047436,-0.052370448020720044,-0.005975512607589985,1759343146.9218075
-0.02184879954676474,-0.05273661243313829,-0.0054502516328595076,1759343146.9358788
-0.022436070513290638,-0.05218877774574461,-0.0055897661564174765,1759343146.9561317
-0.022533035974745486,-0.05321916478616103,-0.0060019217665023585,1759343146.9780562
-0.02161317186978555,-0.05433702355856838,-0.005903601337568109,1759343147.0127783
-0.02163816408893955,-0.05269287179229382,-0.0051990327577066345,1759343147.0501094
-0.023257536976561567,-0.052817922928760065,-0.005974871956421001,1759343147.0727503
-0.022127641694519768,-0.055616750789182864,-0.006085444180845642,1759343147.090782
-0.021989542602547263,-0.052832829003840336,-0.005430605992752992,1759343147.1332245
-0.022169592297117277,-0.05432224294353072,-0.006453864965858829,1759343147.1515613
-0.022079974325521837,-0.053863940202941454,-0.00544297454338566,1759343147.1706276
-0.0223440834492347,-0.054527106705009126,-0.005518566198479323,1759343147.1833758
-0.020794179875312967,-0.0588745130942398,-0.00681781910092963,1759343147.1961808
-0.023540479388812912,-0.05092726821287312,-0.005378678783749131,1759343147.2145095
-0.02202852318945342,-0.05277489848533811,-0.005733193763037899,1759343147.237672
-0.021606097742534254,-0.05567762702301676,-0.00580706529683482,1759343147.2548738
-0.021482338568018282,-0.052949218103003785,-0.005475421622847532,1759343147.274075
-0.022673124718037795,-0.0533353335565889,-0.006087491601791576,1759343147.291719
-0.02341259531150613,-0.05418294190545342,-0.006286378514326219,1759343147.3088806
-0.021803724340112886,-0.05518935924142468,-0.0057679091496638715,1759343147.322671
-0.021632512118162556,-0.05292026554526165,-0.00512762070670628,1759343147.3363824
-0.022423346447405172,-0.053254827072488735,-0.005511590908416831,1759343147.3485606
-0.022138368904034696,-0.05172116528288927,-0.005716698430610006,1759343147.3598962
-0.02268699266757329,-0.055117416434701,-0.0060952110709322415,1759343147.3710058
-0.022492253313278632,-0.05326100696689778,-0.005719142728709711,1759343147.3830228
-0.02109169137315891,-0.05389369499597956,-0.005589593069737877,1759343147.3952737
-0.02247152533969597,-0.051524027518922065,-0.005214676242197137,1759343147.4101603
-0.022214194942649035,-0.05530127735125871,-0.006117737688035838,1759343147.4248524
-0.023448860155589685,-0.05125671521945745,-0.0058752528586482325,1759343147.4371471
-0.022849324612684102,-0.054399844812160064,-0.00633959167899902,1759343147.45557
-0.02203914365948714,-0.0526502357732096,-0.005785784726689725,1759343147.4715064
-0.019143171491653954,-0.05266775710611732,-0.005062932582420178,1759343147.4887934
-0.02250957741727496,-0.054709119888340596,-0.005735925202661605,1759343147.502282
-0.023680082027913853,-0.05425905566570025,-0.006154026782756856,1759343147.5169332
-0.022491172427916737,-0.054009368017908746,-0.006057725122136041,1759343147.5305994
-0.023105456213927074,-0.056049020771481835,-0.006550384364795693,1759343147.5426414
-0.02268010889385111,-0.05577962296703861,-0.006107788937140604,1759343147.5594685
-0.02199583564866842,-0.0551301758758978,-0.00576870383603261,1759343147.572148
-0.022484188956164896,-0.05128649288819226,-0.0051792103324505056,1759343147.585179
-0.02200956996224421,-0.05260017848593403,-0.005747652249352642,1759343147.5983496
-0.021799985337119916,-0.054265798362082056,-0.006167451429390113,1759343147.6176877
-0.022428031589175588,-0.0537436003173278,-0.005984468257714256,1759343147.6341865
-0.02096062289900381,-0.054007791587538705,-0.0056926148922966015,1759343147.6510184
-0.02231296287334869,-0.05381998090208031,-0.005434399447299369,1759343147.6669214
-0.02157570515556888,-0.05273443254242646,-0.005656259355525783,1759343147.6814249
-0.022177971231870666,-0.05309887774297569,-0.0057821071228459885,1759343147.7000654
-0.022234678943494842,-0.049782309029920355,-0.004819183825616797,1759343147.7172446
-0.021113966875470062,-0.05577376400472416,-0.005816938737584504,1759343147.7378798
-0.022772892789139063,-0.053802112895390705,-0.00582471327149903,1759343147.75203
-0.023074175855077015,-0.052499903784594584,-0.005734895683633264,1759343147.7654665
-0.022446540789982372,-0.05427556604340234,-0.0063695265159053535,1759343147.7823417
-0.021507725595565085,-0.05470123825909973,-0.006043181768552695,1759343147.7963638
-0.020905547479713512,-0.055016010113931264,-0.0057739482140311445,1759343147.8089762
-0.021794486972914633,-0.05346112278127878,-0.0056577081565637255,1759343147.824438
-0.02248045700208332,-0.05180024084336817,-0.005450592895724656,1759343147.8376794
-0.023510278804084822,-0.05418922822510668,-0.0061221767927901755,1759343147.850246
-0.02240203528958708,-0.05425648975863363,-0.0060986020378961826,1759343147.871975
-0.022096035490045747,-0.05362316435540883,-0.00528385473974811,1759343147.8888366
-0.02115716239026193,-0.055461010828601116,-0.0056252200077359935,1759343147.9036467
-0.02256271537413184,-0.05242805767133184,-0.005459092363923778,1759343147.9162028
-0.02333220838526625,-0.05460732820314644,-0.0064352839999318075,1759343147.929056
-0.02306138339642719,-0.05436663914836124,-0.006218185497033844,1759343147.9434395
-0.02259187242555571,-0.05855172841476637,-0.006770325621805913,1759343147.9627883
-0.02198843065897543,-0.052663828057425345,-0.005320832612733703,1759343147.9822314
-0.0223385703970343,-0.053694777791768136,-0.005595841144926558,1759343148.0056243
-0.023874258967552565,-0.05462477874491201,-0.006502633597710974,1759343148.0199
-0.022413043386771754,-0.05399493422119332,-0.005885757680510147,1759343148.0364056
-0.02195983681649967,-0.05489108518646831,-0.005768007652543482,1759343148.055736
-0.023267727920973914,-0.053716746446346934,-0.005761797803740406,1759343148.0819168
-0.022617110999087784,-0.05339871956691391,-0.0061484265817494145,1759343148.102062
-0.022626691066472044,-0.05574779489320069,-0.0064142390599450025,1759343148.1202712
-0.021533086573150836,-0.05397172829626812,-0.005634811861315662,1759343148.1370263
-0.0214377902867525,-0.05385954018525108,-0.005860293615550405,1759343148.156281
-0.02349111406303342,-0.05237569683246854,-0.005720349443318091,1759343148.1809084
-0.024273065833709848,-0.052459324085693274,-0.005974141119987117,1759343148.2033522
-0.02148247120227547,-0.05402029245557626,-0.005542997504210911,1759343148.2177973
-0.022780973388008618,-0.05411223438587458,-0.005704880362376683,1759343148.2380707
-0.02302568613168513,-0.05394352925372103,-0.006216531364002165,1759343148.2678194
-0.02177678786028215,-0.05492075847235025,-0.005951060964719977,1759343148.2969294
-0.022833001161535103,-0.05517146545162171,-0.005809194816716143,1759343148.329169
-0.02320176382332911,-0.05385149621620527,-0.006324319519515754,1759343148.3488326
-0.021867187801570213,-0.054293882548022504,-0.005755646742475123,1759343148.379594
-0.022290168105731388,-0.05203619097272304,-0.005575809334289887,1759343148.4106753
-0.022923928854715368,-0.053210166632190956,-0.005924716196717359,1759343148.4310694
-0.021319540974901442,-0.05424021792277347,-0.005502917350557401,1759343148.4691384
-0.022740530812425025,-0.05310161222740607,-0.005549924683337796,1759343148.4947877
-0.02292725287111867,-0.05395921212646565,-0.006117734217872945,1759343148.5220373
-0.02194894477160079,-0.050904518427642986,-0.004982629266291396,1759343148.5496156
-0.023077507508143875,-0.05353987705845528,-0.006075284270627412,1759343148.5726252
-0.02233512589171097,-0.05367032278692858,-0.005948163370497145,1759343148.6048806
-0.02127834247510454,-0.05494691422476806,-0.005464531011695278,1759343148.6222713
-0.02310871764430063,-0.05156055044898167,-0.005367144373281822,1759343148.6611753
-0.022619453911933665,-0.05303103469647328,-0.005885827137230193,1759343148.691272
-0.02156146029839003,-0.053628424111505285,-0.005637744788140856,1759343148.7344184
-0.023055267343488988,-0.054535329991450374,-0.006477439210832847,1759343148.762681
-0.02126394863121571,-0.05572461716995677,-0.005672221176262266,1759343148.7892888
-0.021559639685711916,-0.05407898444408979,-0.00583674679722358,1759343148.83276
-0.022531640451758716,-0.05397477951310412,-0.0060226385274749095,1759343148.8676577
-0.021683639766170493,-0.05308920862636479,-0.005736021268003005,1759343148.914441
-0.02313734591776317,-0.054167804340943024,-0.006090446986052869,1759343148.944097
-0.02166764883769168,-0.053510063477700875,-0.005156797204651328,1759343148.9648328
-0.02449584284676636,-0.05319482623579063,-0.00594116132118074,1759343148.9899614
-0.022512054925062572,-0.05522128404634762,-0.006117749313877356,1759343149.0046916
