PWM1,PWM2,PWM3,PWM4,timestamp
1000,1000,1000,1000,1759267801.664359
1000,1000,1000,1000,1759267801.666144
1000,1000,1000,1000,1759267801.6694458
1000,1000,1000,1000,1759267801.6710546
1000,1000,1000,1000,1759267801.67907
1000,1000,1000,1000,1759267801.6831024
1000,1000,1000,1000,1759267801.684779
1000,1000,1000,1000,1759267801.6894505
1000,1000,1000,1000,1759267801.6937025
1000,1000,1000,1000,1759267801.6947484
1000,1000,1000,1000,1759267801.697436
1000,1000,1000,1000,1759267801.70196
1000,1000,1000,1000,1759267801.7035348
1000,1000,1000,1000,1759267801.7043831
1000,1000,1000,1000,1759267801.705536
1000,1000,1000,1000,1759267801.7069583
1000,1000,1000,1000,1759267801.7080848
1000,1000,1000,1000,1759267801.7099104
1000,1000,1000,1000,1759267801.7119398
1000,1000,1000,1000,1759267801.7161322
1000,1000,1000,1000,1759267801.7200415
1000,1000,1000,1000,1759267801.7249312
1000,1000,1000,1000,1759267801.728614
1000,1000,1000,1000,1759267801.7327137
1000,1000,1000,1000,1759267801.736694
1000,1000,1000,1000,1759267801.740627
1000,1000,1000,1000,1759267801.7475512
1000,1000,1000,1000,1759267801.7507083
1000,1000,1000,1000,1759267801.756956
1000,1000,1000,1000,1759267801.769594
1000,1000,1000,1000,1759267801.7706268
1000,1000,1000,1000,1759267801.7750905
1000,1000,1000,1000,1759267801.7792528
1000,1000,1000,1000,1759267801.7809222
1000,1000,1000,1000,1759267801.7858603
1000,1000,1000,1000,1759267801.7877855
1000,1000,1000,1000,1759267801.7930791
1000,1000,1000,1000,1759267801.795186
1000,1000,1000,1000,1759267801.7986417
1000,1000,1000,1000,1759267801.8023334
1000,1000,1000,1000,1759267801.8043044
1000,1000,1000,1000,1759267801.807153
1000,1000,1000,1000,1759267801.8115575
1000,1000,1000,1000,1759267801.8128746
1000,1000,1000,1000,1759267801.816717
1000,1000,1000,1000,1759267801.8183713
1000,1000,1000,1000,1759267801.8215182
1000,1000,1000,1000,1759267801.8277726
1000,1000,1000,1000,1759267801.830759
1000,1000,1000,1000,1759267801.8340964
1000,1000,1000,1000,1759267801.8359363
1000,1000,1000,1000,1759267801.837319
1000,1000,1000,1000,1759267801.8395638
1000,1000,1000,1000,1759267801.8427274
1000,1000,1000,1000,1759267801.8465846
1000,1000,1000,1000,1759267801.8486366
1000,1000,1000,1000,1759267801.8525062
1000,1000,1000,1000,1759267801.8558078
1000,1000,1000,1000,1759267801.8568192
1000,1000,1000,1000,1759267801.858997
